a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.33-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alembic 1.8.3-3
alsa-card-profiles 1:0.3.56-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.7.2-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amd-ucode 20220708.be7798e-1
android-file-transfer 4.2-2
android-tools 31.0.3-7
android-udev 20220611-1
aom 3.4.0-1
apparmor 3.0.7-1
appimagelauncher 2.2.0-9
appmenu-gtk-module 0.7.6-1
appstream 0.15.4-1
appstream-glib 0.8.1-1
appstream-qt 0.15.4-1
archlinux-appstream-data 20220727-1
archlinux-keyring 20220727-1
argon2 20190702-4
aria2 1.36.0-1
ark 22.04.3-1
aspell 0.60.8-2
aspell-en 2020.12.07-1
aspnet-targeting-pack 6.0.8.sdk108-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.96.0-1
attr 2.5.1-2
audacity 1:3.1.3-2
audiofile 0.3.6-6
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
babl 0.1.92-1
baloo 5.96.0-1
baloo-widgets 22.04.3-1
base 3-2
bash 5.1.016-2
bash-completion 2.11-2
bashrc-manjaro 5.1.016-2
bc 1.07.1-4
binutils 2.39-2
bison 3.8.2-4
bleachbit 4.4.2-3
blender 17:3.2.2-1
blosc 1.21.1-2
bluedevil 1:5.24.6-1
bluez 5.65-2
bluez-libs 5.65-2
bluez-qt 5.96.0-1
boost-libs 1.79.0-1
breeze 5.24.6-1
breeze-gtk 5.24.6-1
breeze-icons 5.96.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.81-1
ca-certificates-utils 20210603-1
cabal-install 3.4.1.0-8
